Team,MPasstoRush,MPasses,MTD,MScore,Rushes,Passes,Wins,favorby,opponentScore,meanYards,meanFirstDowns,MeanOffplays
ARI,1.4535004777360212,27.46808510638298,3.1702127659574466,24.53191489361702,1291,1692,23,0.4574468085106383,23.70212765957447,387.9574468085106,27.74468085106383,84.1063829787234
ATL,1.897126077052054,23.923076923076923,2.7948717948717947,23.794871794871796,933,1620,16,-2.5256410256410255,25.743589743589745,381.97435897435895,27.102564102564102,85.05128205128206
BAL,1.0920743394912429,31.565217391304348,3.5,28.82608695652174,1452,1430,32,4.945652173913044,20.23913043478261,393.6304347826087,29.5,84.82608695652173
BUF,1.5938712585098236,26.363636363636363,3.409090909090909,27,1160,1681,31,3.3295454545454546,19.25,398.1818181818182,28.704545454545453,84.47727272727273
CAR,1.6423000574442403,24.733333333333334,2.466666666666667,20.622222222222224,1113,1710,13,-2.6444444444444444,26.31111111111111,358.9555555555556,25.511111111111113,81.75555555555556
CHI,1.7127321392248345,25.106382978723403,2.297872340425532,19.51063829787234,1180,1723,20,-1.9680851063829787,22.25531914893617,334.2340425531915,24.127659574468087,81.04255319148936
CIN,1.664778991522893,25.08695652173913,2.6956521739130435,20.91304347826087,1154,1736,13,-4.108695652173913,25.043478260869566,365.60869565217394,25.043478260869566,82.80434782608695
CLE,1.2905264769485594,28.266666666666666,2.8222222222222224,22.666666666666668,1272,1526,24,1.5777777777777777,24.266666666666666,380.15555555555557,26.133333333333333,80.53333333333333
DAL,1.6698599643476568,26.893617021276597,3.148936170212766,26.80851063829787,1264,1913,25,2.425531914893617,23.21276595744681,427.3829787234043,28.97872340425532,86.87234042553192
DEN,1.4678397459004888,26.08695652173913,2.4347826086956523,19.41304347826087,1200,1596,18,-2.402173913043478,22.08695652173913,344.4782608695652,23.108695652173914,79.21739130434783
DET,1.6407199022534829,24.622222222222224,2.577777777777778,20.77777777777778,1108,1702,9,-4.811111111111111,28.977777777777778,365.0444444444444,24.733333333333334,81.22222222222223
GB,1.4898401313300647,25.434782608695652,3.5869565217391304,27.065217391304348,1170,1649,37,3.8260869565217392,21.434782608695652,378.4347826086956,27.5,80.65217391304348
HOU,1.501894365580647,24.513513513513512,2.6486486486486487,22.756756756756758,907,1280,16,-2.5945945945945947,25.89189189189189,367.64864864864865,24.864864864864863,78.13513513513513
IND,1.344673964099432,29.35135135135135,3.054054054054054,25.756756756756758,1086,1299,22,1.1756756756756757,22.135135135135137,378.6756756756757,27.27027027027027,83.27027027027027
JAX,1.8994319652575704,23.227272727272727,2,17.068181818181817,1022,1696,9,-5.511363636363637,27.068181818181817,347.47727272727275,22.568181818181817,79.36363636363636
KC,1.9099364682954765,23.851063829787233,3.382978723404255,28.5531914893617,1121,1947,37,5.840425531914893,20.53191489361702,423.1914893617021,29.914893617021278,84.25531914893617
LA,1.8315240286844727,25.523809523809526,3.0952380952380953,24.642857142857142,1072,1660,26,3.988095238095238,20.761904761904763,397.6904761904762,27.738095238095237,84.07142857142857
LAC,1.779138551407166,25.282608695652176,3.130434782608696,23.97826086956522,1163,1858,20,1.326086956521739,24.695652173913043,405.39130434782606,27.82608695652174,83.82608695652173
LV,1.5485553310688063,26.128205128205128,2.9743589743589745,22.94871794871795,1019,1423,19,-1.9102564102564104,28.128205128205128,393,26.333333333333332,80.56410256410257
MIA,1.8141702719197634,23.6,2.3777777777777778,21.266666666666666,1062,1754,21,-4.166666666666667,24.42222222222222,336.53333333333336,24.333333333333332,82.55555555555556
MIN,1.323977931947489,29.130434782608695,3.347826086956522,26.130434782608695,1340,1583,24,1.6956521739130435,24.543478260869566,401.17391304347825,27.543478260869566,82.91304347826087
NE,1.3627367853191952,28.714285714285715,2.761904761904762,24.261904761904763,1206,1446,25,3.642857142857143,17.738095238095237,371.9047619047619,26.928571428571427,82.07142857142857
NO,1.416202468502859,27.31111111111111,3.488888888888889,26.77777777777778,1229,1559,30,2.966666666666667,21.622222222222224,374.9111111111111,28.2,82.37777777777778
NYG,1.9484702001049934,21.511111111111113,2.2888888888888888,18.8,968,1685,14,-4.988888888888889,24.844444444444445,328.0444444444444,22.666666666666668,78.95555555555555
NYJ,1.5913375498889193,23.666666666666668,1.9777777777777779,16.77777777777778,1065,1575,11,-7.0777777777777775,27.355555555555554,314.8222222222222,21.177777777777777,76.66666666666667
PHI,1.539696315053065,27.65909090909091,2.8636363636363638,23.272727272727273,1217,1634,18,0.3068181818181818,23.863636363636363,366.47727272727275,26.25,84.54545454545455
PIT,2.1097986182305446,21.8,2.3555555555555556,21.711111111111112,981,1810,26,1.2777777777777777,21,335.02222222222224,23.355555555555554,82.28888888888889
SEA,1.4333968662665932,25.86046511627907,3.3255813953488373,25.069767441860463,1112,1476,26,2.7209302325581395,23.27906976744186,370.5813953488372,26.023255813953487,80.79069767441861
SF,1.3156155271282617,29.022727272727273,3.4545454545454546,25.931818181818183,1277,1497,24,2.25,22.022727272727273,401.72727272727275,27.818181818181817,82.72727272727273
TB,2.2146188110763316,23.285714285714285,3.8095238095238093,30.523809523809526,978,1780,27,3.9404761904761907,24,429.35714285714283,30.714285714285715,86.54761904761905
TEN,1.1476158097437419,29.533333333333335,3.466666666666667,26.88888888888889,1329,1437,29,1.1888888888888889,23.4,390.6666666666667,27.4,81.86666666666666
WAS,1.5662674229550564,25,2.130434782608696,18.804347826086957,1150,1627,15,-5.086956521739131,24.369565217391305,324.5217391304348,23.02173913043478,79.47826086956522
